challenge	difficulty	qubits	method	method_family	source_sessions	run_id	rank_type	rank	bitstring_qiskit	score_type	score	count	support	fraction	selected	review	validation	status	source_path	notes
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-03_snap	raw_sample_top	1	001101111010111011110100	count	2829	2829			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-03_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-04_snap	raw_sample_top	1	001011111110101011110100	count	2372	2372			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-04_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-4_nosnap	raw_sample_top	1	001011111110101011110100	count	2397	2397			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-4_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c2e-3_nosnap	raw_sample_top	1	001011111011011011011010	count	2749	2749			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c2e-3_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:gpu_c1e-5_snap_b8192	raw_sample_top	1	001011011111011101011010	count	2335	2335			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/gpu_c1e-5_snap_b8192.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:val_b4096_c0.002_snap	raw_sample_top	1	001011111011011011011010	count	2748	2748			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/val_b4096_c0.002_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-03_snap	raw_sample_top	2	001101111010111011110010	count	219	219			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-03_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-04_snap	raw_sample_top	2	001011111110101011110010	count	191	191			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-04_snap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c1e-4_nosnap	raw_sample_top	2	001011111110101011110010	count	191	191			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c1e-4_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
24_13	easy	24	mpo_unswap_opus_raw_order	mpo	opus_combined	challenge-24_13:c2e-3_nosnap	raw_sample_top	2	001011111011011011001110	count	232	232			0		raw_order_uncertain	ok	outputs/opus_combined/challenge-24_13/c2e-3_nosnap.json	raw sample order from opus output; not promoted as qiskit-order answer
